renamed	dataset	sample_type
ABCS_04912	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04913	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04914	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04915	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04916	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04917	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04918	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04919	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04920	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04921	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04922	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04923	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04924	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04925	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04926	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04927	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04928	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04929	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04930	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04931	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04932	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04933	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04934	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
